,id,order,value
5603,1845,Hero,2.0
5607,1849,Hero,1.0
5609,1851,Hero,15.0
5611,1853,Hero,2.0
5616,1858,Hero,6.0
5617,1859,Hero,1.0
5618,1860,Hero,27.0
5623,1865,Hero,8.0
5624,1866,Hero,1.0
5625,1867,Hero,1.0
5629,1871,Hero,1.0
5630,1872,Hero,2.0
5636,1878,Hero,2.0
5637,1879,Hero,1.0
5640,1882,Hero,1.0
5644,1886,Hero,6.0
5647,1889,Hero,72.0
5649,1891,Hero,1.0
5655,1897,Hero,2.0
5656,1898,Hero,23.0
5660,1902,Hero,1.0
5661,1903,Hero,15.0
5663,1905,Hero,34.0
5666,1908,Hero,8.0
5668,1910,Hero,1.0
5670,1912,Hero,2.0
5673,1915,Hero,1.0
5674,1916,Hero,7.0
5675,1917,Hero,2.0
5678,1920,Hero,14.0
5680,1922,Hero,2.0
5683,1925,Hero,21.0
5686,1928,Hero,4.0
5687,1929,Hero,8.0
5689,1931,Hero,2.0
5691,1933,Hero,14.0
5692,1934,Hero,1.0
5697,1939,Hero,1.0
5698,1940,Hero,2.0
5702,1944,Hero,2.0
5703,1945,Hero,1.0
5704,1946,Hero,7.0
5705,1947,Hero,117.0
5706,1948,Hero,58.0
5707,1949,Hero,147.0
5709,1951,Hero,1.0
5710,1952,Hero,2.0
5716,1958,Hero,9.0
5717,1959,Hero,2.0
5718,1960,Hero,6.0
5719,1961,Hero,101.0
5721,1963,Hero,4.0
5723,1965,Hero,1.0
5724,1966,Hero,2.0
5728,1970,Hero,1.0
5729,1971,Hero,6.0
5730,1972,Hero,35.0
5732,1974,Hero,21.0
5733,1975,Hero,2.0
5735,1977,Hero,1.0
5736,1978,Hero,1.0
5739,1981,Hero,2.0
5740,1982,Hero,15.0
5745,1987,Hero,2.0
5748,1990,Hero,1.0
5749,1991,Hero,8.0
5752,1994,Hero,1.0
5753,1995,Hero,6.0
5758,2000,Hero,1.0
5760,2002,Hero,74.0
5763,2005,Hero,1.0
5767,2009,Hero,1.0
5770,2012,Hero,2.0
5771,2013,Hero,1.0
5776,2018,Hero,2.0
5778,2020,Hero,1.0
5779,2021,Hero,2.0
5782,2024,Hero,2.0
5783,2025,Hero,2.0
5786,2028,Hero,10.0
